2025-10-16 14:24:16, MOVE, v:1, k:poo@motoca, mode:DOWN
2025-10-16 14:24:17, MOVE, v:1, k:poo@motoca, mode:PICK
2025-10-16 14:25:25, MOVE, v:1, k:poo@motoca, mode:BACK
2025-10-16 14:25:45, MOVE, v:1, k:poo@motoca, mode:PICK
2025-10-16 16:27:37, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:84
2025-10-16 16:27:38, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:39, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:41, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:42, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:42, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:43, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:44, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:45, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:46, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:46, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:27:47, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0
2025-10-16 16:38:33, MOVE, v:1, k:poo@motoca, mode:BACK
